source_id,operation_date,importer_name,importer_tax_id,supplier_name,supplier_country,product_name,product_category,hs_code,origin_country,destination_country,quantity,unit,fob_value_usd,freight_usd,insurance_usd,tariff_rate,additional_tax_rate,entry_port,transport_mode,description_raw
SEED-00001,2025-07-04,Importadora Construya UY,219876540012,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,3542.79,m2,35263.27,3426.7,176.32,0.14,0.22,Montevideo,sea,Deck WPC exterior - BL ref 1
SEED-00002,2025-07-04,Distribuidora Casamax S.A.,211234560018,Brazil Timber Export S.A.,BR,Placa simil mármol UV,placas_simil_marmol,681019,BR,UY,3405.8,m2,73675.29,9525.27,368.38,0.12,0.22,Santos BR,sea,Placa simil mármol UV - BL ref 2
SEED-00003,2025-07-04,Revestimientos Premium S.A.,21555666778,Chile MDF Industries,CL,Piedra flexible mural,piedra_flexible,680300,CL,UY,9865.62,m2,89367.61,13084.07,446.84,0.1,0.22,Santos BR,sea,Piedra flexible mural - BL ref 3
SEED-00004,2025-07-04,Materiales del Plata S.R.L.,30709876543,Brazil Timber Export S.A.,BR,Perfil metal yeso 70mm,perfiles_yeso,721691,BR,UY,11520.79,u,22743.97,2194.62,113.72,0.12,0.22,Montevideo,sea,Perfil metal yeso 70mm - BL ref 4
SEED-00005,2025-07-04,Importadora Construya UY,219876540012,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,7561.73,m2,92738.22,13083.62,463.69,0.14,0.22,Montevideo,sea,Piso SPC click 5mm - BL ref 5
SEED-00006,2025-07-04,Revestimientos Premium S.A.,21555666778,Chile MDF Industries,CL,Placa fenólica 18mm,fenolicos,441233,CL,UY,10089.33,m2,276148.95,41510.57,1380.74,0.1,0.22,Nueva Palmira,sea,Placa fenólica 18mm - BL ref 6
SEED-00007,2025-07-04,Materiales del Plata S.R.L.,30709876543,Chile MDF Industries,CL,Puerta semi blindada,puertas_semi_blindada,441821,CL,UY,11834.48,u,2372433.26,357416.22,11862.17,0.12,0.22,Santos BR,sea,Puerta semi blindada - BL ref 7
SEED-00008,2025-07-08,Pisos y Revestimientos S.A.,21222333445,Vietnam Stone Flex Co.,VN,Madera pino radiata,madera,440710,VN,UY,2621.73,m3,1081123.8,148019.11,5405.62,0.08,0.22,Montevideo,sea,Madera pino radiata - BL ref 8
SEED-00009,2025-07-08,Maderas Uruguay Import,21888999001,Brazil Timber Export S.A.,BR,Cielorraso PVC blanco,cielorraso_pvc,392590,BR,UY,2630.11,m2,10567.31,1683.02,52.84,0.14,0.22,Nueva Palmira,sea,Cielorraso PVC blanco - BL ref 9
SEED-00010,2025-07-08,Distribuidora Casamax S.A.,211234560018,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,9816.51,m2,84524.89,7998.86,422.62,0.14,0.22,Zarate AR,sea,Piso SPC click 5mm - BL ref 10
SEED-00011,2025-07-08,Grupo Andino Building,20111222334,Turkey Marble Panel Inc.,TR,Tablero OSB 15mm,osb,441233,TR,UY,10708.45,m3,3097792.01,309782.33,15488.96,0.08,0.22,Nueva Palmira,sea,Tablero OSB 15mm - BL ref 11
SEED-00012,2025-07-08,Revestimientos Premium S.A.,21555666778,Fujian OSB Manufacturing,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,3742.71,m2,99899.37,15269.38,499.5,0.1,0.22,Santos BR,sea,Placa fenólica 18mm - BL ref 12
SEED-00013,2025-07-08,Materiales del Plata S.R.L.,30709876543,Fujian OSB Manufacturing,CN,MDF melamina 18mm,mdf,441114,CN,UY,6327.38,m3,2348447.78,352918.17,11742.24,0.08,0.22,Nueva Palmira,sea,MDF melamina 18mm - BL ref 13
SEED-00014,2025-07-13,Revestimientos Premium S.A.,21555666778,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,11956.56,m2,184221.9,29102.54,921.11,0.14,0.22,Montevideo,sea,Deck WPC exterior - BL ref 14
SEED-00015,2025-07-13,Revestimientos Premium S.A.,21555666778,Chile MDF Industries,CL,Placa simil mármol UV,placas_simil_marmol,681019,CL,UY,9408.31,m2,164107.34,18141.25,820.54,0.12,0.22,Nueva Palmira,sea,Placa simil mármol UV - BL ref 15
SEED-00016,2025-07-13,Maderas Uruguay Import,21888999001,Chile MDF Industries,CL,Piedra flexible mural,piedra_flexible,680300,CL,UY,11685.15,m2,185299.13,23262.03,926.5,0.1,0.22,Montevideo,sea,Piedra flexible mural - BL ref 16
SEED-00017,2025-07-13,Maderas Uruguay Import,21888999001,Shandong SPC Flooring Group,CN,Piso SPC click 5mm,pisos_spc,391810,CN,UY,6485.82,m2,44040.01,5116.3,220.2,0.14,0.22,Nueva Palmira,sea,Piso SPC click 5mm - BL ref 17
SEED-00018,2025-07-13,Pisos y Revestimientos S.A.,21222333445,Fujian OSB Manufacturing,CN,Tablero OSB 15mm,osb,441233,CN,UY,11087.13,m3,3124581.4,388080.51,15622.91,0.08,0.22,Montevideo,sea,Tablero OSB 15mm - BL ref 18
SEED-00019,2025-07-17,Materiales del Plata S.R.L.,30709876543,Guangdong PVC Ceiling Ltd.,CN,Madera pino radiata,madera,440710,CN,UY,1759.32,m3,785285.71,74480.33,3926.43,0.08,0.22,Nueva Palmira,sea,Madera pino radiata - BL ref 19
SEED-00020,2025-07-17,Grupo Andino Building,20111222334,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,11404.71,m2,117602.83,14928.17,588.01,0.14,0.22,Santos BR,sea,Deck WPC exterior - BL ref 20
SEED-00021,2025-07-17,Maderas Uruguay Import,21888999001,Vietnam Stone Flex Co.,VN,Tablero OSB 15mm,osb,441233,VN,UY,5706.72,m3,1529331.87,150593.76,7646.66,0.08,0.22,Nueva Palmira,sea,Tablero OSB 15mm - BL ref 21
SEED-00022,2025-07-17,Distribuidora Casamax S.A.,211234560018,Fujian OSB Manufacturing,CN,Placa fenólica 18mm,fenolicos,441233,CN,UY,3377.29,m2,65534.11,6223.74,327.67,0.1,0.22,Montevideo,sea,Placa fenólica 18mm - BL ref 22
SEED-00023,2025-07-17,Distribuidora Casamax S.A.,211234560018,Vietnam Stone Flex Co.,VN,MDF melamina 18mm,mdf,441114,VN,UY,1593.6,m3,426448.84,58350.33,2132.24,0.08,0.22,Nueva Palmira,sea,MDF melamina 18mm - BL ref 23
SEED-00024,2025-07-17,Maderas Uruguay Import,21888999001,Jiangsu Door Systems Co.,CN,Puerta semi blindada,puertas_semi_blindada,441821,CN,UY,3521.57,u,524190.44,62113.53,2620.95,0.12,0.22,Montevideo,sea,Puerta semi blindada - BL ref 24
SEED-00025,2025-07-19,Grupo Andino Building,20111222334,Zhejiang WPC New Materials Co.,CN,Deck WPC exterior,wpc,391890,CN,UY,6030.68,m2,109800.96,15057.61,549.0,0.14,0.22,Montevideo,sea,Deck WPC exterior - BL ref 25
SEED-00026,2025-07-19,Maderas Uruguay Import,21888999001,Vietnam Stone Flex Co.,VN,Cielorraso PVC blanco,cielorraso_pvc,392590,VN,UY,9766.64,m2,28685.37,2966.39,143.43,0.14,0.22,Santos BR,sea,Cielorraso PVC blanco - BL ref 26
SEED-00027,2025-07-19,Materiales del Plata S.R.L.,30709876543,Chile MDF Industries,CL,Placa simil mármol UV,placas_simil_marmol,681019,CL,UY,5981.43,m2,155467.98,14812.51,777.34,0.12,0.22,Montevideo,sea,Placa simil mármol UV - BL ref 27
SEED-00028,2025-07-19,Revestimientos Premium S.A.,21555666778,Zhejiang WPC New Materials Co.,CN,Piedra flexible mural,piedra_flexible,680300,CN,UY,11652.76,m2,202027.43,30184.66,1010.14,0.1,0.22,Nueva Palmira,sea,Piedra flexible mural - BL ref 28
SEED-00029,2025-07-19,Grupo Andino Building,20111222334,Brazil Timber Export S.A.,BR,Perfil metal yeso 70mm,perfiles_yeso,721691,BR,UY,10484.08,u,34341.85,3486.54,171.71,0.12,0.22,Montevideo,sea,Perfil metal yeso 70mm - BL ref 29
